Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
Adeno-Associated Virus PREDICT_AaV-11,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus PREDICT_AaV-5,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus PREDICT_AaV-6,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus PREDICT_AaV-7,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus PREDICT_AaV-8,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus PREDICT_AaV-9,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus rh.8,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adenoviridae sp.,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/CUHKA4751/2008/HKG,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/CUHKA5073/2008/HKG,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/CUHKA5173/2008/HKG,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/CUHKA5330/2008/HKG,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/CUHKA5509/2008/HKG,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/CUHKA6696/2008/HKG,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/CUHKA6807/2008/HKG,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2006-08/Brazil/2006,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2006-13/Brazil/2006,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2006-14/Brazil/2006,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-317/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-318/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-319/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-320/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-322/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-323/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-324/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-334/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-335/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-337/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-338/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-339/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-340/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-341/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-342/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus Hu/RJ/2008-356/Brazil/2008,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-13,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-14,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-15,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-16,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-17,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-2,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-20,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-22,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-23,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-24,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-26,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-28,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-29,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-30,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-31,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-32,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-33,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-34,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-35,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-36,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-37,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-38,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-39,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-40,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-41,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-42,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-44,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-46,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-48,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-49,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-50,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-51,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-52,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-53,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-54,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-55,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-56,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-57,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-58,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-59,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-60,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-61,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-62,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-63,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-64,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-65,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-66,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-67,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-68,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-69,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-70,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-71,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-72,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-73,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-74,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-75,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-77,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-78,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-79,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-80,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-81,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-87,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-90,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus PREDICT_AdV-91,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus red squirrel/DEU/JK-2011,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus sp.,,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus squirrel/298/07-19/PT,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus squirrel/96-29/KOR,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adenovirus squirrel/GBR/SG-2012,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Adler hantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
African green monkey polyomavirus,,Polyomaviridae,Sepolyvirales,Papovaviricetes
African green monkey simian foamy virus,Spumavirus,Retroviridae,Ortervirales,Revtraviricetes
African horse sickness virus,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
African pygmy hedgehog adenovirus 1,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
African swine fever virus,Asfivirus,Asfarviridae,Asfuvirales,Pokkesviricetes
Agama adenovirus 1 REM-2013,,Adenoviridae,Rowavirales,Tectiliviricetes
Agamid adenovirus 1,Atadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Agamid atadenovirus Ben,Atadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Ageratum enation virus,Begomovirus,Geminiviridae,Geplafuvirales,Repensiviricetes
Ageratum leaf curl betasatellite,Betasatellite,Tolecusatellitidae,,
Ageratum yellow vein virus,Begomovirus,Geminiviridae,Geplafuvirales,Repensiviricetes
Aichivirus A,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Aichivirus B,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Aichivirus C,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Aichivirus D,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Aichivirus E,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Aichivirus F,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Ailuropoda melanoleuca polyomavirus 1,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Aino orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Akabane orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Akhmeta virus,Orthopoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Akhtuba virus,,Peribunyaviridae,Bunyavirales,Ellioviricetes
Akodon montensis polyomavirus,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Alagoas vesiculovirus,Vesiculovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Alaskapox virus,Orthopoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Alcelaphine gammaherpesvirus 1,Macavirus,Herpesviridae,Herpesvirales,Herviviricetes
Alcelaphine gammaherpesvirus 2,Macavirus,Herpesviridae,Herpesvirales,Herviviricetes
Alces alces faeces associated circular virus MP65,,Genomoviridae,Geplafuvirales,Repensiviricetes
Alces alces faeces associated genomovirus MP111,,Genomoviridae,Geplafuvirales,Repensiviricetes
Alces alces faeces associated genomovirus MP146,,Genomoviridae,Geplafuvirales,Repensiviricetes
Alces alces faeces associated genomovirus MP157,,Genomoviridae,Geplafuvirales,Repensiviricetes
Alces alces faeces associated genomovirus MP43,,Genomoviridae,Geplafuvirales,Repensiviricetes
Alces alces faeces associated genomovirus MP68,,Genomoviridae,Geplafuvirales,Repensiviricetes
Alces alces faeces associated genomovirus MP84,,Genomoviridae,Geplafuvirales,Repensiviricetes
Alces alces faeces associated smacovirus MP78,Porprismacovirus,Smacoviridae,Cremevirales,Arfiviricetes
Alenquer phlebovirus,Phlebovirus,Phenuiviridae,Bunyavirales,Ellioviricetes
Alethinophid 3 reptarenavirus,Reptarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Allpahuayo mammarenavirus,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Alongshan virus,,Flaviviridae,Amarillovirales,Flasuviricetes
Alouatta macconnelli cytomegalovirus,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Alouatta palliata cytomegalovirus,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Alouatta seniculus cytomegalovirus,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Alpaca adenovirus CA/2007,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Alpaca adenovirus GBR/3387_02,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Alpaca coronavirus,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alpaca coronavirus CA08-1/2008,,Coronaviridae,Nidovirales,Pisoniviricetes
Alphaarterivirus equid,Alphaarterivirus,Arteriviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206645-41/2011,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/GrNC1/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/GrNC2/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/GrNC3/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/GrNC4/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/GrNC5/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/GrNC6/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/GrNC7/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/GrNC8/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/MSTM2/Min_nat/RSA/2010,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/MSTM6/Min_nat/RSA/2010,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus BtCoV/VH_NC2/Neo_cap/RSA/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-239577/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-265225/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-287740/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-293985/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-5088/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-66604/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C1148/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C146/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C149/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C264/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C265/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C328/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C348/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C362/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C368/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C412/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C414//IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C454/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C676/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C837/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-replicase/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P2-21252/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P2-C344/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P3-C450/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P3-C766/IT/USA/2009,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus H.sav/L/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus L232,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus M.bly/B/Spain/2004,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus M.dau/H/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus M.myo/I/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus M.sch/A/Spain/2004,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Mink/China/1/2016,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Myotis/13rs384_31/Italy/2012,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus N.las/C/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus N.las/D/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus N.las/E/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus N.las/F/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus N.las/G/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus P.kuh/Iprima/Spain/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Perimyotis subflavus,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Pip1_Cr_FR_2014,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Pip2_Cr_FR_2014,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Pip3_M_FR_2014,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Pipistrellus kuhlii/Italy/206645-41/2010,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Pipistrellus kuhlii/Italy/206679-3/2010,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus PLMg1,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus Trinidad/1FY2BA/2007,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus TT-2016a,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus UKMa1,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphacoronavirus UKRn3,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Alphaherpesvirinae sp.,,Herpesviridae,Herpesvirales,Herviviricetes
Alphapapillomavirus 1,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 10,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 11,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 12,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 13,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 14,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 2,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 3,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 4,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 5,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 6,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 8,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Altai-like virus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Altai virus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Alto Paraguay hantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Ambystoma tigrinum virus,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
Amdoparvovirus sp.,Amdoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
American bat vesiculovirus,Vesiculovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
