taxid,rank,name,id
1458045,subfamily,Accipitrinae,8955
1458045,genus,Erythrotriorchis,1458043
1458045,species,Erythrotriorchis radiatus,1458045
8957,class,Aves,8782
8957,infraclass,Neognathae,8825
8957,order,Accipitriformes,2558200
8957,family,Accipitridae,56259
8957,subfamily,Accipitrinae,8955
8957,genus,Accipiter,8956
8957,species,Accipiter gentilis,8957
258530,class,Aves,8782
258530,infraclass,Neognathae,8825
258530,order,Accipitriformes,2558200
258530,family,Accipitridae,56259
258530,subfamily,Accipitrinae,8955
258530,genus,Accipiter,8956
258530,species,Accipiter gularis,258530
211598,class,Aves,8782
211598,infraclass,Neognathae,8825
211598,order,Accipitriformes,2558200
211598,family,Accipitridae,56259
211598,subfamily,Accipitrinae,8955
211598,genus,Accipiter,8956
211598,species,Accipiter nisus,211598
56330,class,Aves,8782
56330,infraclass,Neognathae,8825
56330,order,Accipitriformes,2558200
56330,family,Accipitridae,56259
56330,subfamily,Accipitrinae,8955
56330,genus,Accipiter,8956
56330,species,Accipiter striatus,56330
210844,class,Aves,8782
210844,infraclass,Neognathae,8825
210844,order,Accipitriformes,2558200
210844,family,Accipitridae,56259
210844,subfamily,Accipitrinae,8955
210844,genus,Accipiter,8956
210844,species,Accipiter trivirgatus,210844
58057,class,Mammalia,40674
58057,clade,Theria,32525
58057,clade,Eutheria,9347
58057,clade,Boreoeutheria,1437010
58057,superorder,Laurasiatheria,314145
58057,order,Chiroptera,9397
58057,suborder,Megachiroptera,30559
58057,family,Pteropodidae,9398
58057,subfamily,Pteropodinae,77225
58057,genus,Acerodon,58056
58057,species,Acerodon celebensis,58057
32536,class,Mammalia,40674
32536,clade,Theria,32525
32536,clade,Eutheria,9347
32536,clade,Boreoeutheria,1437010
32536,superorder,Laurasiatheria,314145
32536,order,Carnivora,33554
32536,suborder,Feliformia,379583
32536,family,Felidae,9681
32536,subfamily,Acinonychinae,338151
32536,genus,Acinonyx,32535
32536,species,Acinonyx jubatus,32536
10068,class,Mammalia,40674
10068,clade,Theria,32525
10068,clade,Eutheria,9347
10068,clade,Boreoeutheria,1437010
10068,superorder,Euarchontoglires,314146
10068,clade,Glires,314147
10068,order,Rodentia,9989
10068,suborder,Myomorpha,1963758
10068,clade,Muroidea,337687
10068,family,Muridae,10066
10068,subfamily,Deomyinae,326408
10068,genus,Acomys,10067
10068,species,Acomys cahirinus,10068
60744,class,Mammalia,40674
60744,clade,Theria,32525
60744,clade,Eutheria,9347
60744,clade,Boreoeutheria,1437010
60744,superorder,Euarchontoglires,314146
60744,clade,Glires,314147
60744,order,Rodentia,9989
60744,suborder,Myomorpha,1963758
60744,clade,Muroidea,337687
60744,family,Muridae,10066
60744,subfamily,Deomyinae,326408
60744,genus,Acomys,10067
60744,species,Acomys dimidiatus,60744
83528,class,Mammalia,40674
83528,clade,Theria,32525
83528,clade,Eutheria,9347
83528,clade,Boreoeutheria,1437010
83528,superorder,Euarchontoglires,314146
83528,clade,Glires,314147
83528,order,Rodentia,9989
83528,suborder,Myomorpha,1963758
83528,clade,Muroidea,337687
83528,family,Muridae,10066
83528,subfamily,Deomyinae,326408
83528,genus,Acomys,10067
83528,species,Acomys minous,83528
81631,class,Mammalia,40674
81631,clade,Theria,32525
81631,clade,Eutheria,9347
81631,clade,Boreoeutheria,1437010
81631,superorder,Euarchontoglires,314146
81631,clade,Glires,314147
81631,order,Rodentia,9989
81631,suborder,Myomorpha,1963758
81631,clade,Muroidea,337687
81631,family,Muridae,10066
81631,subfamily,Deomyinae,326408
81631,genus,Acomys,10067
81631,species,Acomys subspinosus,81631
37436,class,Mammalia,40674
37436,clade,Theria,32525
37436,clade,Eutheria,9347
37436,clade,Boreoeutheria,1437010
37436,superorder,Euarchontoglires,314146
37436,clade,Glires,314147
37436,order,Rodentia,9989
37436,suborder,Myomorpha,1963758
37436,clade,Muroidea,337687
37436,family,Muridae,10066
37436,subfamily,Deomyinae,326408
37436,genus,Acomys,10067
37436,species,Acomys wilsoni,37436
51850,class,Lepidosauria,8504
51850,order,Squamata,8509
51850,clade,Bifurcata,1329961
51850,clade,Unidentata,1329950
51850,clade,Episquamata,1329912
51850,clade,Toxicofera,1329911
51850,infraorder,Serpentes,8570
51850,superfamily,Henophidia,34979
51850,family,Boidae,8572
51850,subfamily,Boinae,196244
51850,genus,Acrantophis,51849
51850,species,Acrantophis dumerili,51850
451382,class,Aves,8782
451382,infraclass,Neognathae,8825
451382,order,Passeriformes,9126
451382,family,Sturnidae,9170
451382,genus,Acridotheres,245037
451382,species,Acridotheres cristatellus,451382
245038,class,Aves,8782
245038,infraclass,Neognathae,8825
245038,order,Passeriformes,9126
245038,family,Sturnidae,9170
245038,genus,Acridotheres,245037
245038,species,Acridotheres fuscus,245038
279927,class,Aves,8782
279927,infraclass,Neognathae,8825
279927,order,Passeriformes,9126
279927,family,Sturnidae,9170
279927,genus,Acridotheres,245037
279927,species,Acridotheres tristis,279927
68474,class,Aves,8782
68474,infraclass,Neognathae,8825
68474,order,Passeriformes,9126
68474,superfamily,Sylvioidea,2116661
68474,family,Sylviidae,36270
68474,subfamily,Acrocephalinae,330750
68474,genus,Acrocephalus,39620
68474,species,Acrocephalus dumetorum,68474
52609,class,Aves,8782
52609,infraclass,Neognathae,8825
52609,order,Passeriformes,9126
52609,superfamily,Sylvioidea,2116661
52609,family,Sylviidae,36270
52609,subfamily,Acrocephalinae,330750
52609,genus,Acrocephalus,39620
52609,species,Acrocephalus schoenobaenus,52609
48156,class,Aves,8782
48156,infraclass,Neognathae,8825
48156,order,Passeriformes,9126
48156,superfamily,Sylvioidea,2116661
48156,family,Sylviidae,36270
48156,subfamily,Acrocephalinae,330750
48156,genus,Acrocephalus,39620
48156,species,Acrocephalus scirpaceus,48156
190659,class,Aves,8782
190659,infraclass,Neognathae,8825
190659,order,Charadriiformes,8906
190659,family,Scolopacidae,8917
190659,genus,Actitis,190658
190659,species,Actitis macularia,190659
59515,class,Mammalia,40674
59515,clade,Theria,32525
59515,clade,Eutheria,9347
59515,clade,Boreoeutheria,1437010
59515,superorder,Laurasiatheria,314145
59515,order,Artiodactyla,91561
59515,suborder,Ruminantia,9845
59515,infraorder,Pecora,35500
59515,family,Bovidae,9895
59515,subfamily,Hippotraginae,9959
59515,genus,Addax,59514
59515,species,Addax nasomaculatus,59515
57236,class,Aves,8782
57236,infraclass,Neognathae,8825
57236,order,Podicipediformes,30447
57236,family,Podicipedidae,30448
57236,genus,Aechmophorus,57235
57236,species,Aechmophorus occidentalis,57236
73327,class,Aves,8782
73327,infraclass,Neognathae,8825
73327,order,Passeriformes,9126
73327,superfamily,Sylvioidea,2116661
73327,family,Aegithalidae,73325
73327,genus,Aegithalos,73326
73327,species,Aegithalos caudatus,73327
8959,class,Aves,8782
8959,infraclass,Neognathae,8825
8959,order,Accipitriformes,2558200
8959,family,Accipitridae,56259
8959,subfamily,Accipitrinae,8955
8959,genus,Aegypius,8958
8959,species,Aegypius monachus,8959
257879,class,Mammalia,40674
257879,clade,Theria,32525
257879,clade,Eutheria,9347
257879,clade,Boreoeutheria,1437010
257879,superorder,Laurasiatheria,314145
257879,order,Chiroptera,9397
257879,suborder,Microchiroptera,30560
257879,family,Vespertilionidae,9431
257879,genus,Aeorestes,2045281
257879,species,Aeorestes cinereus,257879
9897,class,Mammalia,40674
9897,clade,Theria,32525
9897,clade,Eutheria,9347
9897,clade,Boreoeutheria,1437010
9897,superorder,Laurasiatheria,314145
9897,order,Artiodactyla,91561
9897,suborder,Ruminantia,9845
9897,infraorder,Pecora,35500
9897,family,Bovidae,9895
9897,subfamily,Aepycerotinae,37169
9897,genus,Aepyceros,9896
9897,species,Aepyceros melampus,9897
121561,class,Mammalia,40674
121561,clade,Theria,32525
121561,clade,Eutheria,9347
121561,clade,Boreoeutheria,1437010
121561,superorder,Euarchontoglires,314146
121561,clade,Glires,314147
121561,order,Rodentia,9989
121561,suborder,Myomorpha,1963758
121561,clade,Muroidea,337687
121561,family,Muridae,10066
121561,subfamily,Murinae,39107
121561,genus,Aethomys,61151
121561,species,Aethomys chrysophilus,121561
1416742,class,Mammalia,40674
1416742,clade,Theria,32525
1416742,clade,Eutheria,9347
1416742,clade,Boreoeutheria,1437010
1416742,superorder,Euarchontoglires,314146
1416742,clade,Glires,314147
1416742,order,Rodentia,9989
1416742,suborder,Myomorpha,1963758
1416742,clade,Muroidea,337687
1416742,family,Muridae,10066
1416742,subfamily,Murinae,39107
1416742,genus,Aethomys,61151
1416742,species,Aethomys hindei,1416742
284517,class,Mammalia,40674
284517,clade,Theria,32525
284517,clade,Eutheria,9347
284517,clade,Boreoeutheria,1437010
284517,superorder,Euarchontoglires,314146
284517,clade,Glires,314147
284517,order,Rodentia,9989
284517,suborder,Myomorpha,1963758
284517,clade,Muroidea,337687
284517,family,Muridae,10066
284517,subfamily,Murinae,39107
284517,genus,Aethomys,61151
284517,species,Aethomys ineptus,284517
253247,class,Mammalia,40674
253247,clade,Theria,32525
253247,clade,Eutheria,9347
253247,clade,Boreoeutheria,1437010
253247,superorder,Euarchontoglires,314146
253247,clade,Glires,314147
253247,order,Rodentia,9989
253247,suborder,Myomorpha,1963758
253247,clade,Muroidea,337687
253247,family,Muridae,10066
253247,subfamily,Murinae,39107
253247,genus,Aethomys,61151
253247,species,Aethomys kaiseri,253247
103336,class,Lepidosauria,8504
103336,order,Squamata,8509
103336,clade,Bifurcata,1329961
103336,clade,Unidentata,1329950
103336,clade,Episquamata,1329912
103336,clade,Toxicofera,1329911
103336,suborder,Iguania,8511
103336,clade,Acrodonta,83232
103336,family,Agamidae,81953
103336,subfamily,Agaminae,81954
103336,genus,Agama,52207
103336,species,Agama agama,103336
706245,class,Aves,8782
706245,infraclass,Neognathae,8825
706245,order,Pelecaniformes,9205
706245,family,Ardeidae,8899
706245,genus,Agamia,706244
706245,species,Agamia agami,706245
60463,class,Aves,8782
60463,infraclass,Neognathae,8825
60463,order,Psittaciformes,9223
60463,family,Psittacidae,9224
60463,genus,Agapornis,60461
60463,species,Agapornis fischeri,60463
60465,class,Aves,8782
60465,infraclass,Neognathae,8825
60465,order,Psittaciformes,9223
60465,family,Psittacidae,9224
60465,genus,Agapornis,60461
60465,species,Agapornis nigrigenis,60465
60466,class,Aves,8782
60466,infraclass,Neognathae,8825
60466,order,Psittaciformes,9223
60466,family,Psittacidae,9224
60466,genus,Agapornis,60461
60466,species,Agapornis personatus,60466
60468,class,Aves,8782
60468,infraclass,Neognathae,8825
60468,order,Psittaciformes,9223
60468,family,Psittacidae,9224
60468,genus,Agapornis,60461
60468,species,Agapornis roseicollis,60468
39638,class,Aves,8782
39638,infraclass,Neognathae,8825
39638,order,Passeriformes,9126
39638,superfamily,Passeroidea,175121
39638,family,Icteridae,164646
39638,genus,Agelaius,9190
39638,species,Agelaius phoeniceus,39638
2675479,class,Aves,8782
2675479,infraclass,Neognathae,8825
2675479,order,Passeriformes,9126
2675479,family,Sturnidae,9170
2675479,genus,Agropsar,2675478
2675479,species,Agropsar sturninus,2675479
9646,class,Mammalia,40674
9646,clade,Theria,32525
9646,clade,Eutheria,9347
9646,clade,Boreoeutheria,1437010
9646,superorder,Laurasiatheria,314145
9646,order,Carnivora,33554
9646,suborder,Caniformia,379584
9646,family,Ursidae,9632
9646,genus,Ailuropoda,9645
9646,species,Ailuropoda melanoleuca,9646
9649,class,Mammalia,40674
9649,clade,Theria,32525
9649,clade,Eutheria,9347
9649,clade,Boreoeutheria,1437010
9649,superorder,Laurasiatheria,314145
9649,order,Carnivora,33554
9649,suborder,Caniformia,379584
9649,family,Ailuridae,379582
9649,genus,Ailurus,9648
9649,species,Ailurus fulgens,9649
8832,class,Aves,8782
8832,infraclass,Neognathae,8825
8832,superorder,Galloanserae,1549675
8832,order,Anseriformes,8826
8832,family,Anatidae,8830
8832,subfamily,Anatinae,2068716
8832,genus,Aix,8831
8832,species,Aix galericulata,8832
8833,class,Aves,8782
8833,infraclass,Neognathae,8825
8833,superorder,Galloanserae,1549675
8833,order,Anseriformes,8826
8833,family,Anatidae,8830
8833,subfamily,Anatinae,2068716
8833,genus,Aix,8831
8833,species,Aix sponsa,8833
29095,class,Mammalia,40674
29095,clade,Theria,32525
29095,clade,Eutheria,9347
29095,clade,Boreoeutheria,1437010
29095,superorder,Euarchontoglires,314146
29095,clade,Glires,314147
29095,order,Rodentia,9989
29095,suborder,Myomorpha,1963758
29095,clade,Muroidea,337687
29095,family,Cricetidae,337677
29095,subfamily,Sigmodontinae,40141
29095,genus,Akodon,10069
29095,species,Akodon azarae,29095
29096,class,Mammalia,40674
29096,clade,Theria,32525
29096,clade,Eutheria,9347
29096,clade,Boreoeutheria,1437010
29096,superorder,Euarchontoglires,314146
29096,clade,Glires,314147
29096,order,Rodentia,9989
29096,suborder,Myomorpha,1963758
29096,clade,Muroidea,337687
29096,family,Cricetidae,337677
29096,subfamily,Sigmodontinae,40141
29096,genus,Akodon,10069
29096,species,Akodon cursor,29096
106112,class,Mammalia,40674
106112,clade,Theria,32525
106112,clade,Eutheria,9347
106112,clade,Boreoeutheria,1437010
106112,superorder,Euarchontoglires,314146
106112,clade,Glires,314147
106112,order,Rodentia,9989
106112,suborder,Myomorpha,1963758
106112,clade,Muroidea,337687
106112,family,Cricetidae,337677
106112,subfamily,Sigmodontinae,40141
106112,genus,Akodon,10069
106112,species,Akodon montensis,106112
230113,class,Mammalia,40674
230113,clade,Theria,32525
230113,clade,Eutheria,9347
230113,clade,Boreoeutheria,1437010
230113,superorder,Euarchontoglires,314146
230113,clade,Glires,314147
230113,order,Rodentia,9989
230113,suborder,Myomorpha,1963758
230113,clade,Muroidea,337687
230113,family,Cricetidae,337677
230113,subfamily,Sigmodontinae,40141
230113,genus,Akodon,10069
230113,species,Akodon paranaensis,230113
106114,class,Mammalia,40674
106114,clade,Theria,32525
106114,clade,Eutheria,9347
106114,clade,Boreoeutheria,1437010
106114,superorder,Euarchontoglires,314146
106114,clade,Glires,314147
106114,order,Rodentia,9989
106114,suborder,Myomorpha,1963758
106114,clade,Muroidea,337687
106114,family,Cricetidae,337677
106114,subfamily,Sigmodontinae,40141
106114,genus,Akodon,10069
106114,species,Akodon serrensis,106114
484371,class,Mammalia,40674
484371,clade,Theria,32525
484371,clade,Eutheria,9347
484371,clade,Boreoeutheria,1437010
484371,superorder,Euarchontoglires,314146
484371,clade,Glires,314147
484371,order,Rodentia,9989
484371,suborder,Myomorpha,1963758
484371,clade,Muroidea,337687
484371,family,Cricetidae,337677
484371,subfamily,Sigmodontinae,40141
484371,genus,Akodon,10069
484371,species group,Akodon simulator group,538996
484371,species,Akodon simulator,484371
140762,class,Mammalia,40674
140762,clade,Theria,32525
140762,clade,Eutheria,9347
140762,clade,Boreoeutheria,1437010
140762,superorder,Euarchontoglires,314146
140762,clade,Glires,314147
140762,order,Rodentia,9989
140762,suborder,Myomorpha,1963758
140762,clade,Muroidea,337687
140762,family,Cricetidae,337677
140762,subfamily,Sigmodontinae,40141
140762,genus,Akodon,10069
140762,species group,Akodon simulator group,538996
140762,species,Akodon varius,140762
59517,class,Mammalia,40674
59517,clade,Theria,32525
59517,clade,Eutheria,9347
59517,clade,Boreoeutheria,1437010
59517,superorder,Laurasiatheria,314145
59517,order,Artiodactyla,91561
59517,suborder,Ruminantia,9845
59517,infraorder,Pecora,35500
59517,family,Bovidae,9895
59517,subfamily,Alcelaphinae,37170
59517,genus,Alcelaphus,59516
59517,species,Alcelaphus buselaphus,59517
9852,class,Mammalia,40674
9852,clade,Theria,32525
9852,clade,Eutheria,9347
9852,clade,Boreoeutheria,1437010
9852,superorder,Laurasiatheria,314145
9852,order,Artiodactyla,91561
9852,suborder,Ruminantia,9845
9852,infraorder,Pecora,35500
9852,family,Cervidae,9850
9852,subfamily,Odocoileinae,9881
9852,genus,Alces,9851
9852,species,Alces alces,9852
999462,class,Mammalia,40674
999462,clade,Theria,32525
999462,clade,Eutheria,9347
999462,clade,Boreoeutheria,1437010
999462,superorder,Laurasiatheria,314145
999462,order,Artiodactyla,91561
999462,suborder,Ruminantia,9845
999462,infraorder,Pecora,35500
999462,family,Cervidae,9850
999462,subfamily,Odocoileinae,9881
999462,genus,Alces,9851
999462,species,Alces americanus,999462
9078,class,Aves,8782
9078,infraclass,Neognathae,8825
9078,superorder,Galloanserae,1549675
9078,order,Galliformes,8976
9078,family,Phasianidae,9005
9078,subfamily,Perdicinae,466544
9078,genus,Alectoris,9077
9078,species,Alectoris chukar,9078
40178,class,Aves,8782
40178,infraclass,Neognathae,8825
40178,superorder,Galloanserae,1549675
40178,order,Galliformes,8976
40178,family,Phasianidae,9005
40178,subfamily,Perdicinae,466544
40178,genus,Alectoris,9077
40178,species,Alectoris graeca,40178
9079,class,Aves,8782
9079,infraclass,Neognathae,8825
9079,superorder,Galloanserae,1549675
9079,order,Galliformes,8976
9079,family,Phasianidae,9005
9079,subfamily,Perdicinae,466544
9079,genus,Alectoris,9077
9079,species,Alectoris rufa,9079
309870,class,Aves,8782
309870,infraclass,Neognathae,8825
309870,order,Psittaciformes,9223
309870,family,Psittacidae,9224
309870,genus,Alisterus,309869
309870,species,Alisterus amboinensis,309870
458117,class,Aves,8782
458117,infraclass,Neognathae,8825
458117,order,Psittaciformes,9223
458117,family,Psittacidae,9224
458117,genus,Alisterus,309869
458117,species,Alisterus scapularis,458117
234626,class,Mammalia,40674
234626,clade,Theria,32525
234626,clade,Eutheria,9347
234626,clade,Boreoeutheria,1437010
234626,superorder,Euarchontoglires,314146
234626,clade,Glires,314147
234626,order,Rodentia,9989
234626,suborder,Myomorpha,1963758
234626,superfamily,Dipodoidea,1963761
234626,family,Dipodidae,30648
234626,subfamily,Allactaginae,35734
234626,genus,Orientallactaga,2776189
234626,species,Orientallactaga sibirica,234626
54135,class,Mammalia,40674
54135,clade,Theria,32525
54135,clade,Eutheria,9347
54135,clade,Boreoeutheria,1437010
54135,superorder,Euarchontoglires,314146
54135,order,Primates,9443
54135,suborder,Haplorrhini,376913
54135,infraorder,Simiiformes,314293
54135,parvorder,Catarrhini,9526
54135,superfamily,Cercopithecoidea,314294
54135,family,Cercopithecidae,9527
54135,subfamily,Cercopithecinae,9528
54135,genus,Allenopithecus,54134
54135,species,Allenopithecus nigroviridis,54135
100224,class,Mammalia,40674
100224,clade,Theria,32525
100224,clade,Eutheria,9347
100224,clade,Boreoeutheria,1437010
100224,superorder,Euarchontoglires,314146
100224,order,Primates,9443
100224,suborder,Haplorrhini,376913
100224,infraorder,Simiiformes,314293
100224,parvorder,Catarrhini,9526
100224,superfamily,Cercopithecoidea,314294
100224,family,Cercopithecidae,9527
100224,subfamily,Cercopithecinae,9528
100224,genus,Allochrocebus,2059839
100224,species,Allochrocebus lhoesti,100224
147649,class,Mammalia,40674
147649,clade,Theria,32525
147649,clade,Eutheria,9347
147649,clade,Boreoeutheria,1437010
147649,superorder,Euarchontoglires,314146
147649,order,Primates,9443
147649,suborder,Haplorrhini,376913
147649,infraorder,Simiiformes,314293
147649,parvorder,Catarrhini,9526
147649,superfamily,Cercopithecoidea,314294
147649,family,Cercopithecidae,9527
147649,subfamily,Cercopithecinae,9528
147649,genus,Allochrocebus,2059839
147649,species,Allochrocebus preussi,147649
147650,class,Mammalia,40674
147650,clade,Theria,32525
147650,clade,Eutheria,9347
147650,clade,Boreoeutheria,1437010
147650,superorder,Euarchontoglires,314146
147650,order,Primates,9443
147650,suborder,Haplorrhini,376913
147650,infraorder,Simiiformes,314293
147650,parvorder,Catarrhini,9526
147650,superfamily,Cercopithecoidea,314294
147650,family,Cercopithecidae,9527
147650,subfamily,Cercopithecinae,9528
147650,genus,Allochrocebus,2059839
147650,species,Allochrocebus solatus,147650
329634,class,Mammalia,40674
329634,clade,Theria,32525
329634,clade,Eutheria,9347
329634,clade,Boreoeutheria,1437010
329634,superorder,Euarchontoglires,314146
329634,clade,Glires,314147
329634,order,Rodentia,9989
329634,suborder,Myomorpha,1963758
329634,clade,Muroidea,337687
329634,family,Cricetidae,337677
329634,subfamily,Cricetinae,10026
329634,genus,Allocricetulus,329633
329634,species,Allocricetulus eversmanni,329634
1240559,class,Actinopteri,186623
1240559,subclass,Neopterygii,41665
1240559,infraclass,Teleostei,32443
1240559,clade,Osteoglossocephalai,1489341
1240559,no rank,Clupeocephala,186625
1240559,cohort,Euteleosteomorpha,1489388
1240559,clade,Neoteleostei,123365
1240559,clade,Eurypterygia,123366
1240559,clade,Ctenosquamata,123367
1240559,clade,Acanthomorphata,123368
1240559,clade,Euacanthomorphacea,123369
1240559,clade,Percomorphaceae,1489872
1240559,clade,Eupercaria,1489922
1240559,order,Tetraodontiformes,31022
1240559,superfamily,Ostracioidea,303735
1240559,family,Aracanidae,303732
1240559,genus,Anoplocapros,303733
1240559,species,Anoplocapros amygdaloides,1240559
39030,class,Mammalia,40674
39030,clade,Theria,32525
39030,clade,Eutheria,9347
39030,clade,Boreoeutheria,1437010
39030,superorder,Euarchontoglires,314146
39030,clade,Glires,314147
39030,order,Rodentia,9989
39030,suborder,Myomorpha,1963758
39030,clade,Muroidea,337687
39030,family,Muridae,10066
39030,subfamily,Murinae,39107
39030,genus,Apodemus,10128
39030,species,Apodemus agrarius,39030
30382,class,Aves,8782
30382,infraclass,Neognathae,8825
30382,superorder,Galloanserae,1549675
30382,order,Anseriformes,8826
30382,family,Anatidae,8830
30382,subfamily,Tadorninae,2068719
30382,genus,Alopochen,30381
30382,species,Alopochen aegyptiaca,30382
30590,class,Mammalia,40674
30590,clade,Theria,32525
30590,clade,Eutheria,9347
30590,clade,Boreoeutheria,1437010
30590,superorder,Euarchontoglires,314146
30590,order,Primates,9443
30590,suborder,Haplorrhini,376913
30590,infraorder,Simiiformes,314293
30590,parvorder,Platyrrhini,9479
30590,family,Atelidae,378855
30590,subfamily,Alouattinae,38066
30590,genus,Alouatta,9499
30590,species,Alouatta belzebul,30590
9502,class,Mammalia,40674
9502,clade,Theria,32525
9502,clade,Eutheria,9347
9502,clade,Boreoeutheria,1437010
9502,superorder,Euarchontoglires,314146
9502,order,Primates,9443
9502,suborder,Haplorrhini,376913
9502,infraorder,Simiiformes,314293
9502,parvorder,Platyrrhini,9479
9502,family,Atelidae,378855
9502,subfamily,Alouattinae,38066
9502,genus,Alouatta,9499
9502,species,Alouatta caraya,9502
182256,class,Mammalia,40674
182256,clade,Theria,32525
182256,clade,Eutheria,9347
182256,clade,Boreoeutheria,1437010
182256,superorder,Euarchontoglires,314146
182256,order,Primates,9443
182256,suborder,Haplorrhini,376913
182256,infraorder,Simiiformes,314293
182256,parvorder,Platyrrhini,9479
182256,family,Atelidae,378855
182256,subfamily,Alouattinae,38066
182256,genus,Alouatta,9499
182256,species,Alouatta guariba,182256
198115,class,Mammalia,40674
198115,clade,Theria,32525
198115,clade,Eutheria,9347
198115,clade,Boreoeutheria,1437010
198115,superorder,Euarchontoglires,314146
198115,order,Primates,9443
198115,suborder,Haplorrhini,376913
198115,infraorder,Simiiformes,314293
198115,parvorder,Platyrrhini,9479
198115,family,Atelidae,378855
198115,subfamily,Alouattinae,38066
198115,genus,Alouatta,9499
198115,species,Alouatta macconnelli,198115
30589,class,Mammalia,40674
30589,clade,Theria,32525
30589,clade,Eutheria,9347
30589,clade,Boreoeutheria,1437010
30589,superorder,Euarchontoglires,314146
30589,order,Primates,9443
30589,suborder,Haplorrhini,376913
30589,infraorder,Simiiformes,314293
30589,parvorder,Platyrrhini,9479
30589,family,Atelidae,378855
30589,subfamily,Alouattinae,38066
30589,genus,Alouatta,9499
30589,species,Alouatta palliata,30589
182253,class,Mammalia,40674
182253,clade,Theria,32525
182253,clade,Eutheria,9347
182253,clade,Boreoeutheria,1437010
182253,superorder,Euarchontoglires,314146
182253,order,Primates,9443
182253,suborder,Haplorrhini,376913
182253,infraorder,Simiiformes,314293
182253,parvorder,Platyrrhini,9479
182253,family,Atelidae,378855
182253,subfamily,Alouattinae,38066
182253,genus,Alouatta,9499
182253,species,Alouatta pigra,182253
121123,class,Mammalia,40674
121123,clade,Theria,32525
121123,clade,Eutheria,9347
121123,clade,Boreoeutheria,1437010
121123,superorder,Euarchontoglires,314146
121123,order,Primates,9443
121123,suborder,Haplorrhini,376913
121123,infraorder,Simiiformes,314293
121123,parvorder,Platyrrhini,9479
121123,family,Atelidae,378855
121123,subfamily,Alouattinae,38066
121123,genus,Alouatta,9499
121123,species,Alouatta sara,121123
9503,class,Mammalia,40674
9503,clade,Theria,32525
9503,clade,Eutheria,9347
9503,clade,Boreoeutheria,1437010
9503,superorder,Euarchontoglires,314146
9503,order,Primates,9443
9503,suborder,Haplorrhini,376913
9503,infraorder,Simiiformes,314293
9503,parvorder,Platyrrhini,9479
9503,family,Atelidae,378855
9503,subfamily,Alouattinae,38066
9503,genus,Alouatta,9499
