Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,VirusFlagContaminant,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,NCBIAccession,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay
accipiter gentilis,influenza a virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB676807,2011,10,28,2011,1,NA
accipiter gentilis,west nile virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,DQ116961,2006,4,19,NA,NA,NA
accipiter gularis,avian orthoavulavirus 1,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,orthoavulavirus,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,FJ480779,2008,12,24,2006,NA,NA
accipiter nisus,chicken astrovirus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,avastrovirus,astroviridae,stellavirales,stelpaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN852440,2020,2,26,2015,7,NA
accipiter nisus,influenza a virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,JN807904,2012,3,24,2011,1,NA
accipiter nisus,west nile virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EF116943,2007,12,1,NA,NA,NA
accipiter striatus,west nile virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KX547544,2016,8,2,2009,8,26
accipiter trivirgatus,influenza a virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,CY036058,2008,11,12,2007,NA,NA
acerodon celebensis,acerodon celebensis polyomavirus 1,NA,NA,NA,TRUE,acerodon,pteropodidae,chiroptera,mammalia,NA,NA,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB972940,2015,2,28,2013,3,NA
acerodon celebensis,acerodon celebensis polyomavirus 2,NA,NA,NA,TRUE,acerodon,pteropodidae,chiroptera,mammalia,NA,NA,betapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB972941,2015,2,28,2013,3,NA
acerodon celebensis,mamastrovirus sp.,NA,NA,NA,TRUE,acerodon,pteropodidae,chiroptera,mammalia,NA,NA,mamastrovirus,astroviridae,stellavirales,stelpaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KY054562,2020,2,24,2013,8,21
acerodon celebensis,megabat gammaherpesvirus,NA,NA,NA,TRUE,acerodon,pteropodidae,chiroptera,mammalia,NA,NA,NA,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,LC268946,2017,10,27,2012,NA,NA
acerodon celebensis,paramyxovirus ifbpv32/2012,NA,NA,NA,TRUE,acerodon,pteropodidae,chiroptera,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB710472,2012,10,23,2012,2,NA
acerodon celebensis,paramyxovirus predict_pmv-93,NA,NA,NA,TRUE,acerodon,pteropodidae,chiroptera,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT063255,2020,4,30,2016,3,7
acerodon celebensis,paramyxovirus predict_pmv-95,NA,NA,NA,TRUE,acerodon,pteropodidae,chiroptera,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT063256,2020,4,30,2016,9,2
acinonyx jubatus,acinonyx jubatus papillomavirus type 1,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,NA,papillomaviridae,zurhausenvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG552617,2018,10,6,2014,NA,NA
acinonyx jubatus,carnivore protoparvovirus 1,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,protoparvovirus,parvoviridae,piccovirales,quintoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KP033232,2015,11,1,2012,NA,NA
acinonyx jubatus,cheetah astrovirus 1,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,mamastrovirus,astroviridae,stellavirales,stelpaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EU650331,2008,5,12,2007,NA,NA
acinonyx jubatus,cowpox virus,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,orthopoxvirus,poxviridae,chitovirales,pokkesviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY902254,2005,12,31,NA,NA,NA
acinonyx jubatus,dabie bandavirus,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,bandavirus,phenuiviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,LC325234,2018,6,5,2017,7,4
acinonyx jubatus,feline calicivirus,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,vesivirus,caliciviridae,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AF032106,1997,11,25,NA,NA,NA
acinonyx jubatus,feline immunodeficiency virus,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,lentivirus,retroviridae,ortervirales,revtraviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AY878201,2005,6,20,NA,NA,NA
acinonyx jubatus,feline parvovirus,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,protoparvovirus,parvoviridae,piccovirales,quintoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AJ249557,2000,1,7,NA,NA,NA
acinonyx jubatus,influenza a virus,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,HM012479,2010,3,19,2009,11,17
acinonyx jubatus,lambdapapillomavirus 1,NA,NA,NA,TRUE,acinonyx,felidae,carnivora,mammalia,NA,NA,lambdapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KP760482,2016,3,1,2014,NA,NA
acomys cahirinus,gabek phlebovirus,NA,NA,NA,TRUE,acomys,muridae,rodentia,mammalia,NA,NA,phlebovirus,phenuiviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,FJ235927,2009,7,7,NA,NA,NA
acomys dimidiatus,"acomys herpesvirus svms 226,222",NA,NA,NA,TRUE,acomys,muridae,rodentia,mammalia,NA,NA,NA,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,HQ587046,2011,5,21,NA,NA,NA
acomys selousi,rodent paramyxovirus,NA,NA,NA,TRUE,acomys,muridae,rodentia,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MK861986,2020,7,12,2016,NA,NA
acomys subspinosus,rodent paramyxovirus lr10-62,NA,NA,NA,TRUE,acomys,muridae,rodentia,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB844333,2013,11,7,2010,8,NA
acomys subspinosus,rodent paramyxovirus lr11-113,NA,NA,NA,TRUE,acomys,muridae,rodentia,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB844334,2013,11,7,2011,7,NA
acomys wilsoni,rodent hepacivirus,NA,NA,NA,TRUE,acomys,muridae,rodentia,mammalia,NA,NA,hepacivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN555567,2020,11,18,2011,NA,NA
acrantophis dumerili,unidentified reptarenavirus,NA,NA,NA,TRUE,acrantophis,boidae,squamata,reptilia,NA,NA,reptarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KP071471,2015,5,20,2009,NA,NA
acridotheres cristatellus,avian orthoavulavirus 1,NA,NA,NA,TRUE,acridotheres,sturnidae,passeriformes,aves,NA,NA,orthoavulavirus,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KY788662,2017,10,4,2015,NA,NA
acridotheres fuscus,manzanilla orthobunyavirus,NA,NA,NA,TRUE,acridotheres,sturnidae,passeriformes,aves,NA,NA,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MH507151,2018,8,29,1961,NA,NA
acridotheres tristis,avian orthoavulavirus 1,NA,NA,NA,TRUE,acridotheres,sturnidae,passeriformes,aves,NA,NA,orthoavulavirus,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN728797,2020,8,30,2017,NA,NA
acridotheres tristis,siadenovirus sp.,NA,NA,NA,TRUE,acridotheres,sturnidae,passeriformes,aves,NA,NA,siadenovirus,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN238647,2019,11,25,2019,5,1
acrocephalus dumetorum,avian orthoavulavirus 1,NA,NA,NA,TRUE,acrocephalus,sylviidae,passeriformes,aves,NA,NA,orthoavulavirus,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MG976930,2018,4,1,2014,NA,NA
acrocephalus dumetorum,tick-borne encephalitis virus,NA,NA,NA,TRUE,acrocephalus,sylviidae,passeriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC602117,2013,5,25,2008,6,NA
acrocephalus dumetorum,west nile virus,NA,NA,NA,TRUE,acrocephalus,sylviidae,passeriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN149538,2020,2,29,2006,5,NA
acrocephalus schoenobaenus,sandjimba virus,NA,NA,NA,TRUE,acrocephalus,sylviidae,passeriformes,aves,NA,NA,NA,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,GU816019,2010,7,28,1970,NA,NA
acrocephalus scirpaceus,sedlec virus,NA,NA,NA,TRUE,acrocephalus,sylviidae,passeriformes,aves,NA,NA,NA,peribunyaviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC978768,2013,8,14,1984,7,30
actitis macularia,west nile virus,NA,NA,NA,TRUE,actitis,scolopacidae,charadriiformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KJ501524,2014,6,30,2006,NA,NA
aechmophorus occidentalis,influenza a virus,NA,NA,NA,TRUE,aechmophorus,podicipedidae,podicipediformes,aves,NA,NA,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,CY076157,2010,10,27,2007,11,26
aegithalos caudatus,picornavirales sp.,NA,NA,NA,TRUE,aegithalos,aegithalidae,passeriformes,aves,NA,NA,NA,NA,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN918663,2020,5,6,2018,NA,NA
aegithalos caudatus,picornaviridae sp.,NA,NA,NA,TRUE,aegithalos,aegithalidae,passeriformes,aves,NA,NA,NA,picornaviridae,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN933899,2020,4,22,2018,NA,NA
aegithalos caudatus,riboviria sp.,NA,NA,NA,TRUE,aegithalos,aegithalidae,passeriformes,aves,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN933880,2020,5,6,2018,NA,NA
aegithalos caudatus,totiviridae sp.,NA,NA,NA,TRUE,aegithalos,aegithalidae,passeriformes,aves,NA,NA,NA,totiviridae,ghabrivirales,chrymotiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN933867,2020,5,6,2018,NA,NA
aegithalos caudatus,west nile virus,NA,NA,NA,TRUE,aegithalos,aegithalidae,passeriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC407668,2013,4,1,2012,NA,NA
aegypius monachus,west nile virus,NA,NA,NA,TRUE,aegypius,accipitridae,accipitriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,DQ059554,2005,6,15,NA,NA,NA
aeorestes cinereus,rabies lyssavirus,NA,NA,NA,TRUE,aeorestes,vespertilionidae,chiroptera,mammalia,NA,NA,lyssavirus,rhabdoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AF346875,2001,4,11,NA,NA,NA
aepyceros melampus,foot-and-mouth disease virus,NA,NA,NA,TRUE,aepyceros,bovidae,artiodactyla,mammalia,NA,NA,aphthovirus,picornaviridae,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AF136986,2000,9,21,NA,NA,NA
aepyceros melampus,impala herpesvirus 1,NA,NA,NA,TRUE,aepyceros,bovidae,artiodactyla,mammalia,NA,NA,NA,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB194012,2005,3,26,NA,NA,NA
aethomys chrysophilus,bobomene virus,NA,NA,NA,TRUE,aethomys,muridae,rodentia,mammalia,NA,NA,NA,arenaviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KF926408,2015,4,30,1984,NA,NA
aethomys chrysophilus,rodent paramyxovirus lr10-73,NA,NA,NA,TRUE,aethomys,muridae,rodentia,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB844335,2013,11,7,2010,8,NA
aethomys chrysophilus,rodent paramyxovirus lr11-99,NA,NA,NA,TRUE,aethomys,muridae,rodentia,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB844336,2013,11,7,2011,7,NA
aethomys chrysophilus,rodent paramyxovirus mpr12-53,NA,NA,NA,TRUE,aethomys,muridae,rodentia,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AB844338,2013,11,7,2012,5,NA
aethomys hindei,salanga phlebovirus,NA,NA,NA,TRUE,aethomys,muridae,rodentia,mammalia,NA,NA,phlebovirus,phenuiviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC669549,2013,11,10,1971,9,1
aethomys ineptus,rodent paramyxovirus,NA,NA,NA,TRUE,aethomys,muridae,rodentia,mammalia,NA,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MK861984,2020,7,12,2016,NA,NA
agama agama,agama adenovirus 1 rem-2013,NA,NA,NA,TRUE,agama,agamidae,squamata,reptilia,NA,NA,NA,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC155825,2013,2,9,2010,NA,NA
agamia agami,avian coronavirus,NA,NA,NA,TRUE,agamia,ardeidae,pelecaniformes,aves,NA,NA,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,GU323504,2010,1,13,2009,NA,NA
