Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,VirusFlagContaminant,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,NCBIAccession,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,VirusIntermediate
pteropus giganteus,predict_hv-8,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-8,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692444,2021,3,9,2006,1,1,PREDICT_HV-8
pteropus giganteus,astrovirus pgastv-7,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,mamastrovirus,astroviridae,stellavirales,stelpaviricetes,PREDICT_MAstV-5,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692433,2021,3,9,2006,1,1,PREDICT_MAstV-5
pteropus giganteus,paramyxovirus pgpmv-1,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692403,2021,3,9,2006,1,1,PREDICT_PMV-1
pteropus giganteus,paramyxovirus pgpmv-2,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-2,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692404,2021,3,9,2006,1,1,PREDICT_PMV-2
pteropus giganteus,paramyxovirus pgpmv-3,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-3,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692405,2021,3,9,2006,1,1,PREDICT_PMV-3
pteropus giganteus,paramyxovirus pgpmv-5,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-5,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692407,2021,3,9,2006,1,1,PREDICT_PMV-5
pteropus giganteus,paramyxovirus pgpmv-6,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-6,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692408,2021,3,9,2006,1,1,PREDICT_PMV-6
pteropus giganteus,paramyxovirus pgpmv-7,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-7,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692409,2021,3,9,2006,1,1,PREDICT_PMV-7
pteropus giganteus,bat adenovirus 1,105273,2711011,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,adenoviridae,rowavirales,tectiliviricetes,strain of Bat adenovirus -1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692429,2021,3,9,2006,1,1,Bat adenovirus -1
hipposideros cyclops,adenovirus predict_adv-35,105273,64320,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros cyclops,NA,NA,adenoviridae,rowavirales,tectiliviricetes,PREDICT_AdV-35,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,MK325898,2021,3,9,2006,6,1,PREDICT_AdV-35
NA,coronavirus predict cov-41,9397,64320,TRUE,TRUE,NA,NA,chiroptera,mammalia,Chiroptera,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-41,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,"KX285496, KX285498, KX285495",2021,3,9,2006,8,1,PREDICT_CoV-41
NA,coronavirus predict cov-47,9397,64320,TRUE,TRUE,NA,NA,chiroptera,mammalia,Chiroptera,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-47,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285497,2021,3,9,2006,8,1,PREDICT_CoV-47
gorilla gorilla,gorilla cytomegalovirus 2,105273,693997,TRUE,FALSE,gorilla,hominidae,primates,mammalia,Gorilla gorilla gorilla,NA,cytomegalovirus,herpesviridae,herpesvirales,herviviricetes,Gorilla Cytomegalovirus 2,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2006,9,1,Gorilla Cytomegalovirus 2
gorilla gorilla,gorilla lymphocryptovirus 1,105273,137878,TRUE,TRUE,gorilla,hominidae,primates,mammalia,Gorilla gorilla gorilla,NA,lymphocryptovirus,herpesviridae,herpesvirales,herviviricetes,Gorilla lymphocryptovirus 1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2006,9,1,Gorilla lymphocryptovirus 1
gorilla gorilla,gorilla lymphocryptovirus 2,105273,693997,TRUE,FALSE,gorilla,hominidae,primates,mammalia,Gorilla gorilla gorilla,NA,lymphocryptovirus,herpesviridae,herpesvirales,herviviricetes,Gorilla Lymphocryptovirus 2,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2006,9,1,Gorilla Lymphocryptovirus 2
hipposideros caffer,predict_pyv-14,105273,NA,TRUE,FALSE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros caffer,"Rhinolophus caffer, Phyllorhina angolensis, Hipposideros nanus, Hipposideros caffer caffer, Hipposideros caffer angolensis, Hipposideros caffer nanus",NA,polyomaviridae,sepolyvirales,papovaviricetes,PREDICT_PyV-14,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2006,9,1,PREDICT_PyV-14
pan troglodytes,gorilla lymphocryptovirus 1,105273,137878,TRUE,TRUE,pan,hominidae,primates,mammalia,Pan troglodytes,NA,lymphocryptovirus,herpesviridae,herpesvirales,herviviricetes,Gorilla lymphocryptovirus 1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2006,9,1,Gorilla lymphocryptovirus 1
pan troglodytes,gorilla lymphocryptovirus 2,105273,693997,TRUE,FALSE,pan,hominidae,primates,mammalia,Pan troglodytes,NA,lymphocryptovirus,herpesviridae,herpesvirales,herviviricetes,Gorilla Lymphocryptovirus 2,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2006,9,1,Gorilla Lymphocryptovirus 2
pan troglodytes,pan troglodytes lymphocryptovirus 1,105273,212727,TRUE,TRUE,pan,hominidae,primates,mammalia,Pan troglodytes,NA,lymphocryptovirus,herpesviridae,herpesvirales,herviviricetes,Pan troglodytes lymphocryptovirus 1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2006,9,1,Pan troglodytes lymphocryptovirus 1
pteropus giganteus,bat adenovirus 1,105273,2711011,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,adenoviridae,rowavirales,tectiliviricetes,Bat adenovirus -1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692430,2021,3,9,2006,11,1,Bat adenovirus -1
pteropus giganteus,nipah henipavirus,105273,121791,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,henipavirus,paramyxoviridae,mononegavirales,monjiviricetes,Nipah Virus,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2006,11,1,Nipah Virus
pteropus giganteus,primate bocaparvovirus 1,105273,689403,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,bocaparvovirus,parvoviridae,piccovirales,quintoviricetes,Human Bocavirus-1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692452,2021,3,9,2007,2,1,Human Bocavirus-1
pteropus giganteus,coronavirus pgcov-2,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-17,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692416,2021,3,9,2007,2,1,PREDICT_CoV-17
pteropus giganteus,predict_hv-12,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-12,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692438,2021,3,9,2007,2,1,PREDICT_HV-12
pteropus giganteus,predict_hv-13,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-13,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692439,2021,3,9,2007,2,1,PREDICT_HV-13
pteropus giganteus,predict_hv-8,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-8,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692444,2021,3,9,2007,2,1,PREDICT_HV-8
pteropus giganteus,paramyxovirus pgpmv-10,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-10,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692412,2021,3,9,2007,2,1,PREDICT_PMV-10
pteropus giganteus,paramyxovirus pgpmv-3,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-3,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692405,2021,3,9,2007,2,1,PREDICT_PMV-3
pteropus giganteus,paramyxovirus pgpmv-4,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-4,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692406,2021,3,9,2007,2,1,PREDICT_PMV-4
pteropus giganteus,paramyxovirus pgpmv-5,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-5,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692407,2021,3,9,2007,2,1,PREDICT_PMV-5
pteropus giganteus,predict_hv-13,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-13,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692439,2021,3,9,2007,7,1,PREDICT_HV-13
pteropus giganteus,astrovirus pgastv-2,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,mamastrovirus,astroviridae,stellavirales,stelpaviricetes,PREDICT_MAstV-2,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692437,2021,3,9,2007,7,1,PREDICT_MAstV-2
pteropus giganteus,predict_adv-11,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,adenoviridae,rowavirales,tectiliviricetes,PREDICT_AdV-11,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692427,2021,3,9,2007,8,1,PREDICT_AdV-11
pteropus giganteus,coronavirus pgcov-2,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-17,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692416,2021,3,9,2007,8,1,PREDICT_CoV-17
pteropus giganteus,predict_hv-12,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-12,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692438,2021,3,9,2007,8,1,PREDICT_HV-12
pteropus giganteus,astrovirus pgastv-1,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,mamastrovirus,astroviridae,stellavirales,stelpaviricetes,PREDICT_MAstV-1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692435,2021,3,9,2007,8,1,PREDICT_MAstV-1
pteropus giganteus,paramyxovirus pgpmv-6,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-6,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692408,2021,3,9,2007,8,1,PREDICT_PMV-6
pteropus giganteus,predict_adv-8,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,adenoviridae,rowavirales,tectiliviricetes,PREDICT_AdV-8,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692424,2021,3,9,2008,2,1,PREDICT_AdV-8
NA,paramyxovirus predict_pmv-21,10069,64320,TRUE,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon sp.,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-21,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KP963783,2021,3,9,2008,5,1,PREDICT_PMV-21
miniopterus schreibersii,bat coronavirus 1,105273,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,Miniopterus schreibersi,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2008,5,1,Bat Coronavirus 1
miniopterus schreibersii,bat coronavirus hku7,105273,393046,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,Miniopterus schreibersi,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU7,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2008,5,1,Bat coronavirus HKU7
miniopterus schreibersii,miniopterus bat coronavirus hku8,105273,694001,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,Miniopterus schreibersi,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU8,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2008,5,1,Bat coronavirus HKU8
pteropus giganteus,predict_hv-1,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692446,2021,3,9,2008,6,1,PREDICT_HV-1
pteropus giganteus,predict_hv-10,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-10,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692441,2021,3,9,2008,6,1,PREDICT_HV-10
pteropus giganteus,bat adenovirus 1,105273,2711011,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,adenoviridae,rowavirales,tectiliviricetes,Bat adenovirus -1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692430,2021,3,9,2008,7,1,Bat adenovirus -1
pteropus giganteus,coronavirus pgcov-2,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-17,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692416,2021,3,9,2008,7,1,PREDICT_CoV-17
pteropus giganteus,coronavirus pgcov-2,105273,64320,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-17,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692416,2021,3,9,2008,9,1,PREDICT_CoV-17
pteropus giganteus,predict_hv-1,105273,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-1,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692446,2021,3,9,2008,9,1,PREDICT_HV-1
cercopithecus nictitans,predict_hv-22,105273,NA,TRUE,FALSE,cercopithecus,cercopithecidae,primates,mammalia,Cercopithecus nictitans,NA,NA,herpesviridae,herpesvirales,herviviricetes,PREDICT_HV-22,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2009,1,1,PREDICT_HV-22
hipposideros caffer,bat coronavirus gabon/292/2009,105273,1225483,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros caffer,"Rhinolophus caffer, Phyllorhina angolensis, Hipposideros nanus, Hipposideros caffer caffer, Hipposideros caffer angolensis, Hipposideros caffer nanus",NA,coronaviridae,nidovirales,pisoniviricetes,Bat coronavirus Gabon/292/2009,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2009,1,1,Bat coronavirus Gabon/292/2009
hipposideros caffer,bat paramyxovirus rou_aeg/gb09164/gab/200,105273,693997,TRUE,FALSE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros caffer,"Rhinolophus caffer, Phyllorhina angolensis, Hipposideros nanus, Hipposideros caffer caffer, Hipposideros caffer angolensis, Hipposideros caffer nanus",NA,paramyxoviridae,mononegavirales,monjiviricetes,Bat Paramyxovirus Rou_aeg/GB09164/GAB/200,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2009,1,1,Bat Paramyxovirus Rou_aeg/GB09164/GAB/200
hipposideros caffer,human coronavirus 229e,105273,11137,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros caffer,"Rhinolophus caffer, Phyllorhina angolensis, Hipposideros nanus, Hipposideros caffer caffer, Hipposideros caffer angolensis, Hipposideros caffer nanus",alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Coronavirus 229E (Bat strain),FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2009,1,1,Coronavirus 229E
hipposideros caffer,polyomavirus predict_pyv-14,105273,64320,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros caffer,"Rhinolophus caffer, Phyllorhina angolensis, Hipposideros nanus, Hipposideros caffer caffer, Hipposideros caffer angolensis, Hipposideros caffer nanus",NA,polyomaviridae,sepolyvirales,papovaviricetes,PREDICT_PyV-14,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,"MK463165, MK463166, MK463167, MK463168, MK463169, MK463180, MK463181",2021,3,9,2009,1,1,PREDICT_PyV-14
hipposideros caffer,polyomavirus predict_pyv-24,105273,64320,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros caffer,"Rhinolophus caffer, Phyllorhina angolensis, Hipposideros nanus, Hipposideros caffer caffer, Hipposideros caffer angolensis, Hipposideros caffer nanus",NA,polyomaviridae,sepolyvirales,papovaviricetes,PREDICT_PyV-24,FALSE,NA,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,"MK463160, MK463161, MK463296, MK463297, MK463298, MK463299, MK463300",2021,3,9,2009,1,1,PREDICT_PyV-24
