Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,NCBIAccession,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay
cynopterus sphinx,coronavirus predict cov-24,9400,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus sphinx,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285737,2021,3,9,2011,9,1
rousettus aegyptiacus,rousettus bat coronavirus hku9,9407,694006,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus aegyptiacus,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2017,8,1
rhinopoma hardwickii,rousettus bat coronavirus hku9,124756,694006,TRUE,TRUE,rhinopoma,rhinopomatidae,chiroptera,mammalia,Rhinopoma hardwickii,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2017,8,1
NA,rousettus bat coronavirus hku9,9406,694006,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX284907,2021,3,9,2011,2,1
eonycteris spelaea,rousettus bat coronavirus hku9,58065,694006,TRUE,TRUE,eonycteris,pteropodidae,chiroptera,mammalia,Eonycteris spelaea,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX284932,2021,3,9,2012,2,1
NA,rousettus bat coronavirus hku9,9406,694006,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX284933,2021,3,9,2012,2,1
NA,rousettus bat coronavirus hku9,9406,694006,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX284935,2021,3,9,2012,2,1
NA,rousettus bat coronavirus hku9,9406,694006,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX284938,2021,3,9,2012,2,1
NA,rousettus bat coronavirus hku9,9406,694006,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285065,2021,3,9,2012,6,1
NA,rousettus bat coronavirus hku9,9406,694006,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285066,2021,3,9,2012,6,1
NA,rousettus bat coronavirus hku9,9406,694006,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX286293,2021,3,9,2012,6,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285436,2021,3,9,2008,5,1
hipposideros lekaguli,bat coronavirus 1,1207989,2042696,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros lekaguli,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285438,2021,3,9,2012,5,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2013,11,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285444,2021,3,9,2013,11,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285445,2021,3,9,2013,11,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285446,2021,3,9,2013,11,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285447,2021,3,9,2013,11,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285448,2021,3,9,2013,11,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285449,2021,3,9,2013,11,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285450,2021,3,9,2013,11,1
miniopterus magnater,bat coronavirus 1,438766,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus magnater,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285494,2021,3,9,2013,11,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285115,2021,3,9,2010,12,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285116,2021,3,9,2010,12,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285117,2021,3,9,2010,12,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285118,2021,3,9,2010,12,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285121,2021,3,9,2010,12,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285122,2021,3,9,2010,12,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285124,2021,3,9,2010,12,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285130,2021,3,9,2011,4,1
miniopterus schreibersii,bat coronavirus 1,9433,2042696,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus schreibersii,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus 1,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285131,2021,3,9,2011,4,1
rhinolophus affinis,rhinolophus bat coronavirus hku2,59477,693998,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus affinis,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU2,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2016,6,1
rhinolophus sinicus,rhinolophus bat coronavirus hku2,89399,693998,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus sinicus,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU2,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2017,6,1
rhinolophus affinis,rhinolophus bat coronavirus hku2,59477,693998,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus affinis,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU2,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2017,6,1
rhinolophus sinicus,rhinolophus bat coronavirus hku2,89399,693998,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus sinicus,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU2,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2017,9,1
rhinolophus affinis,rhinolophus bat coronavirus hku2,59477,693998,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus affinis,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU2,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2017,9,1
rhinolophus affinis,rhinolophus bat coronavirus hku2,59477,693998,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus affinis,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU2,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2017,8,1
aselliscus stoliczkanus,rhinolophus bat coronavirus hku2,188568,693998,TRUE,TRUE,aselliscus,hipposideridae,chiroptera,mammalia,Aselliscus stoliczkanus,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU2,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2017,8,1
rhinolophus affinis,rhinolophus bat coronavirus hku2,59477,693998,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus affinis,NA,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU2,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2018,7,1
pteropus giganteus,predict_hv-5,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-5,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692447,2021,3,9,2010,2,1
pteropus giganteus,predict_hv-5,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-5,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2010,7,1
NA,predict_hv-5,9429,NA,TRUE,FALSE,desmodus,phyllostomidae,chiroptera,mammalia,Desmodus sp.,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-5,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2011,9,1
pteropus giganteus,predict_hv-6,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-6,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692448,2021,3,9,2010,6,1
pteropus giganteus,predict_hv-7,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-7,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692443,2021,3,9,2010,6,1
pteropus giganteus,predict_hv-7,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-7,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692443,2021,3,9,2009,11,1
pteropus giganteus,predict_hv-7,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-7,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692443,2021,3,9,2009,8,1
pteropus giganteus,predict_hv-7,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-7,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692443,2021,3,9,2009,5,1
pteropus giganteus,predict_hv-7,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-7,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692443,2021,3,9,2009,12,1
pteropus giganteus,predict_hv-8,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-8,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2009,12,1
pteropus giganteus,predict_hv-8,143291,NA,TRUE,FALSE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus giganteus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-8,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KC692444,2021,3,9,2009,12,1
nycticebus pygmaeus,predict_hv-25,101278,NA,TRUE,FALSE,nycticebus,lorisidae,primates,mammalia,Nycticebus pygmaeus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-25,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2012,10,1
nycticebus bengalensis,predict_hv-25,261741,NA,TRUE,FALSE,nycticebus,lorisidae,primates,mammalia,Nycticebus bengalensis,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-25,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2013,7,1
nycticebus pygmaeus,predict_hv-25,101278,NA,TRUE,FALSE,nycticebus,lorisidae,primates,mammalia,Nycticebus pygmaeus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-25,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2013,5,1
cercopithecus nictitans,predict_hv-22,36228,NA,TRUE,FALSE,cercopithecus,cercopithecidae,primates,mammalia,Cercopithecus nictitans,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-22,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2009,1,1
allochrocebus preussi,predict_hv-22,147649,NA,TRUE,FALSE,allochrocebus,cercopithecidae,primates,mammalia,Cercopithecus preussi,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-22,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2013,8,1
allochrocebus preussi,predict_hv-22,147649,NA,TRUE,FALSE,allochrocebus,cercopithecidae,primates,mammalia,Cercopithecus preussi,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-22,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2010,12,1
chlorocebus aethiops,predict_hv-22,9534,NA,TRUE,FALSE,chlorocebus,cercopithecidae,primates,mammalia,Chlorocebus aethiops,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-22,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2013,1,1
chlorocebus pygerythrus,predict_hv-22,60710,NA,TRUE,FALSE,chlorocebus,cercopithecidae,primates,mammalia,Chlorocebus pygerythrus,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-22,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2013,4,1
cercopithecus kandti,predict_hv-27,1137481,NA,TRUE,FALSE,cercopithecus,cercopithecidae,primates,mammalia,Cercopithecus kandti,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-27,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2011,1,1
allochrocebus preussi,predict_hv-27,147649,NA,TRUE,FALSE,allochrocebus,cercopithecidae,primates,mammalia,Cercopithecus preussi,NA,NA,herpesviridae,herpesvirales,NA,PREDICT_HV-27,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,NA,2021,3,9,2010,12,1
miniopterus inflatus,paramyxovirus predict_pmv-19,221087,1647219,TRUE,TRUE,miniopterus,vespertilionidae,chiroptera,mammalia,Miniopterus inflatus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-19,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KP963828,2021,3,9,2012,7,1
triaenops persicus,paramyxovirus predict_pmv-12,329870,1647212,TRUE,TRUE,triaenops,rhinonycteridae,chiroptera,mammalia,Triaenops persicus,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-12,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KP963824,2021,3,9,2012,7,1
pteropus alecto,paramyxovirus predict_pmv-25,9402,1647225,TRUE,TRUE,pteropus,pteropodidae,chiroptera,mammalia,Pteropus alecto,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-25,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KP963833,2021,3,9,2013,1,1
murina cyclotis,paramyxovirus predict_pmv-23,177185,1647223,TRUE,TRUE,murina,vespertilionidae,chiroptera,mammalia,Murina cyclotis,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-23,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KP963840,2021,3,9,2010,9,1
coleura afra,paramyxovirus predict_pmv-18,907075,1647218,TRUE,TRUE,coleura,emballonuridae,chiroptera,mammalia,Coleura afra,NA,NA,paramyxoviridae,mononegavirales,monjiviricetes,PREDICT_PMV-18,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KP963864,2021,3,9,2012,10,1
