HostOriginal,Accession,HostFlagID,VirusOriginal,CollectionYear,CollectionMonth,CollectionDay,ReleaseYear,ReleaseMonth,ReleaseDay,Database,DatabaseVersion,DetectionMethod,Virus,VirusGenus,VirusFamily,VirusOrder,VirusNCBIResolved,VirusTaxID,VirusClass,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass
Miniopterus magnater,KX285494,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285115,FALSE,strain of Bat Coronavirus 1,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285116,FALSE,strain of Bat Coronavirus 1,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285117,FALSE,strain of Bat Coronavirus 1,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285118,FALSE,strain of Bat Coronavirus 1,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285121,FALSE,strain of Bat Coronavirus 1,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285122,FALSE,strain of Bat Coronavirus 1,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285124,FALSE,strain of Bat Coronavirus 1,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285130,FALSE,strain of Bat Coronavirus 1,2011,4,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285131,FALSE,strain of Bat Coronavirus 1,2011,4,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Rhinolophus affinis,NA,FALSE,strain of Bat coronavirus HKU2,2016,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,693998,Pisoniviricetes,59477,TRUE,Rhinolophus affinis,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia
Rhinolophus sinicus,NA,FALSE,strain of Bat coronavirus HKU2,2017,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,693998,Pisoniviricetes,89399,TRUE,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia
Rhinolophus affinis,NA,FALSE,strain of Bat coronavirus HKU2,2017,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,693998,Pisoniviricetes,59477,TRUE,Rhinolophus affinis,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia
Rhinolophus sinicus,NA,FALSE,strain of Bat coronavirus HKU2,2017,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,693998,Pisoniviricetes,89399,TRUE,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia
Rhinolophus affinis,NA,FALSE,strain of Bat coronavirus HKU2,2017,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,693998,Pisoniviricetes,59477,TRUE,Rhinolophus affinis,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia
Rhinolophus affinis,NA,FALSE,strain of Bat coronavirus HKU2,2017,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,693998,Pisoniviricetes,59477,TRUE,Rhinolophus affinis,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia
Aselliscus stoliczkanus,NA,FALSE,strain of Bat coronavirus HKU2,2017,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,693998,Pisoniviricetes,188568,TRUE,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,Chiroptera,Mammalia
Rhinolophus affinis,NA,FALSE,strain of Bat coronavirus HKU2,2018,7,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,693998,Pisoniviricetes,59477,TRUE,Rhinolophus affinis,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia
Pteropus giganteus,KC692447,FALSE,PREDICT_HV-5,2010,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-5,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Pteropus giganteus,NA,FALSE,PREDICT_HV-5,2010,7,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-5,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Desmodus sp.,NA,FALSE,PREDICT_HV-5,2011,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-5,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,9429,TRUE,NA,Desmodus,Phyllostomidae,Chiroptera,Mammalia
Pteropus giganteus,KC692448,FALSE,PREDICT_HV-6,2010,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-6,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Pteropus giganteus,KC692443,FALSE,PREDICT_HV-7,2010,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-7,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Pteropus giganteus,KC692443,FALSE,PREDICT_HV-7,2009,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-7,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Pteropus giganteus,KC692443,FALSE,PREDICT_HV-7,2009,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-7,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Pteropus giganteus,KC692443,FALSE,PREDICT_HV-7,2009,5,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-7,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Pteropus giganteus,KC692443,FALSE,PREDICT_HV-7,2009,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-7,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Pteropus giganteus,NA,FALSE,PREDICT_HV-8,2009,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-8,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Pteropus giganteus,KC692444,FALSE,PREDICT_HV-8,2009,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-8,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,143291,TRUE,Pteropus giganteus,Pteropus,Pteropodidae,Chiroptera,Mammalia
Nycticebus pygmaeus,NA,FALSE,PREDICT_HV-25,2012,10,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-25,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,101278,TRUE,Nycticebus pygmaeus,Nycticebus,Lorisidae,Primates,Mammalia
Nycticebus bengalensis,NA,FALSE,PREDICT_HV-25,2013,7,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-25,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,261741,TRUE,Nycticebus bengalensis,Nycticebus,Lorisidae,Primates,Mammalia
Nycticebus pygmaeus,NA,FALSE,PREDICT_HV-25,2013,5,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-25,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,101278,TRUE,Nycticebus pygmaeus,Nycticebus,Lorisidae,Primates,Mammalia
Cercopithecus nictitans,NA,FALSE,PREDICT_HV-22,2009,1,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-22,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,36228,TRUE,Cercopithecus nictitans,Cercopithecus,Cercopithecidae,Primates,Mammalia
Cercopithecus preussi,NA,FALSE,PREDICT_HV-22,2013,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-22,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,147649,TRUE,Allochrocebus preussi,Allochrocebus,Cercopithecidae,Primates,Mammalia
Cercopithecus preussi,NA,FALSE,PREDICT_HV-22,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-22,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,147649,TRUE,Allochrocebus preussi,Allochrocebus,Cercopithecidae,Primates,Mammalia
Chlorocebus aethiops,NA,FALSE,PREDICT_HV-22,2013,1,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-22,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,9534,TRUE,Chlorocebus aethiops,Chlorocebus,Cercopithecidae,Primates,Mammalia
Chlorocebus pygerythrus,NA,FALSE,PREDICT_HV-22,2013,4,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-22,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,60710,TRUE,Chlorocebus pygerythrus,Chlorocebus,Cercopithecidae,Primates,Mammalia
Cercopithecus kandti,NA,FALSE,PREDICT_HV-27,2011,1,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-27,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,1137481,TRUE,Cercopithecus kandti,Cercopithecus,Cercopithecidae,Primates,Mammalia
Cercopithecus preussi,NA,FALSE,PREDICT_HV-27,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,PREDICT_HV-27,NA,Herpesviridae,Herpesvirales,FALSE,NA,NA,147649,TRUE,Allochrocebus preussi,Allochrocebus,Cercopithecidae,Primates,Mammalia
Miniopterus inflatus,KP963828,FALSE,PREDICT_PMV-19,2012,7,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-19,NA,Paramyxoviridae,Mononegavirales,TRUE,1647219,Monjiviricetes,221087,TRUE,Miniopterus inflatus,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Triaenops persicus,KP963824,FALSE,PREDICT_PMV-12,2012,7,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-12,NA,Paramyxoviridae,Mononegavirales,TRUE,1647212,Monjiviricetes,329870,TRUE,Triaenops persicus,Triaenops,Rhinonycteridae,Chiroptera,Mammalia
Pteropus alecto,KP963833,FALSE,PREDICT_PMV-25,2013,1,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-25,NA,Paramyxoviridae,Mononegavirales,TRUE,1647225,Monjiviricetes,9402,TRUE,Pteropus alecto,Pteropus,Pteropodidae,Chiroptera,Mammalia
Murina cyclotis,KP963840,FALSE,PREDICT_PMV-23,2010,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-23,NA,Paramyxoviridae,Mononegavirales,TRUE,1647223,Monjiviricetes,177185,TRUE,Murina cyclotis,Murina,Vespertilionidae,Chiroptera,Mammalia
Coleura afra,KP963864,TRUE,PREDICT_PMV-18,2012,10,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-18,NA,Paramyxoviridae,Mononegavirales,TRUE,1647218,Monjiviricetes,907075,TRUE,Coleura afra,Coleura,Emballonuridae,Chiroptera,Mammalia
Coleura afra,KP963865,TRUE,PREDICT_PMV-18,2012,10,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-18,NA,Paramyxoviridae,Mononegavirales,TRUE,1647218,Monjiviricetes,907075,TRUE,Coleura afra,Coleura,Emballonuridae,Chiroptera,Mammalia
Hipposideros lekaguli,KP963878,FALSE,PREDICT_PMV-14,2012,5,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-14,NA,Paramyxoviridae,Mononegavirales,TRUE,1647214,Monjiviricetes,1207989,TRUE,Hipposideros lekaguli,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Hipposideros lekaguli,KP963879,FALSE,PREDICT_PMV-14,2012,5,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-14,NA,Paramyxoviridae,Mononegavirales,TRUE,1647214,Monjiviricetes,1207989,TRUE,Hipposideros lekaguli,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Hipposideros lekaguli,KP963880,FALSE,PREDICT_PMV-17,2012,5,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Paramyxovirus PREDICT_PMV-17,NA,Paramyxoviridae,Mononegavirales,TRUE,1647217,Monjiviricetes,1207989,TRUE,Hipposideros lekaguli,Hipposideros,Hipposideridae,Chiroptera,Mammalia
