Pathogen_Intermediate,Pathogen,taxid,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass
Gyrodactylus ulinganisus,Gyrodactylus ulinganisus,608842,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Aeromonas jandaei,Aeromonas jandaei,650,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Brevibacterium casei,Brevibacterium casei,33889,Brevibacterium,Brevibacteriaceae,Micrococcales,Actinomycetia
Cichlidogyrus halli,Cichlidogyrus halli,321991,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus thurstonae,Cichlidogyrus thurstonae,321992,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Clinostomum phalacrocoracis,Clinostomum phalacrocoracis,593574,Clinostomum,Clinostomidae,Strigeidida,Trematoda
Delftia tsuruhatensis,Delftia tsuruhatensis,180282,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria
Edwardsiella tarda,Edwardsiella tarda,636,Edwardsiella,Hafniaceae,Enterobacterales,Gammaproteobacteria
Enterobacter hormaechei,Enterobacter hormaechei,158836,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Klebsiella pneumoniae,Klebsiella pneumoniae,573,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Microbacterium esteraromaticum,Microbacterium esteraromaticum,57043,Microbacterium,Microbacteriaceae,Micrococcales,Actinomycetia
Microbacterium paraoxydans,Microbacterium paraoxydans,199592,Microbacterium,Microbacteriaceae,Micrococcales,Actinomycetia
Micrococcus yunnanensis,Micrococcus yunnanensis,566027,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetia
Oceanobacillus oncorhynchi,Oceanobacillus oncorhynchi,545501,Oceanobacillus,Bacillaceae,Bacillales,Bacilli
Plesiomonas shigelloides,Plesiomonas shigelloides,703,Plesiomonas,NA,Enterobacterales,Gammaproteobacteria
Proteus penneri,Proteus penneri,102862,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria
Pseudomonas alcaligenes,Pseudomonas alcaligenes,43263,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
Pseudomonas anguilliseptica,Pseudomonas anguilliseptica,53406,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
Pseudomonas monteilii,Pseudomonas monteilii,76759,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
Pseudomonas mosselii,Pseudomonas mosselii,78327,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
Redspotted grouper nervous necrosis virus,Redspotted grouper nervous necrosis virus,43763,Betanodavirus,Nodaviridae,Nodamuvirales,Magsaviricetes
Scutogyrus longicornis,Scutogyrus longicornis,341066,Scutogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Scutogyrus minus,Scutogyrus minus,321996,Scutogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Soonwooa buanensis,Soonwooa buanensis,619805,Soonwooa,Weeksellaceae,Flavobacteriales,Flavobacteriia
Streptococcus agalactiae,Streptococcus agalactiae,1311,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
Streptococcus dysgalactiae,Streptococcus dysgalactiae,1334,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
Streptococcus iniae,Streptococcus iniae,1346,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
Cichlidogyrus arthracanthus,Cichlidogyrus arthracanthus,874365,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Enterogyrus coronatus,Enterogyrus coronatus,874376,Enterogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus aegypticus,Cichlidogyrus aegypticus,321999,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus agnesi,Cichlidogyrus agnesi,322003,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus bilongi,Cichlidogyrus bilongi,322004,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus cubitus,Cichlidogyrus cubitus,321994,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus digitatus,Cichlidogyrus digitatus,322001,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus ergensi,Cichlidogyrus ergensi,874366,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus flexicolpos,Cichlidogyrus flexicolpos,322000,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus gallus,Cichlidogyrus gallus,322002,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Cichlidogyrus tiberianus,Cichlidogyrus tiberianus,321998,Cichlidogyrus,Ancyrocephalidae,Dactylogyridea,Monogenea
Anisakis simplex,Anisakis simplex,6269,Anisakis,Anisakidae,Rhabditida,Chromadorea
Gyrodactylus harengi,Gyrodactylus harengi,157960,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Photobacterium iliopiscarium,Photobacterium iliopiscarium,56192,Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria
Viral hemorrhagic septicemia virus,Viral hemorrhagic septicemia virus,11287,Novirhabdovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Ichthyophonus hoferi,Ichthyophonus hoferi,39843,Ichthyophonus,Ichthyophonidae,Ichthyophonida,Ichthyosporea
Leuconostoc mesenteroides,Leuconostoc mesenteroides,1245,Leuconostoc,Lactobacillaceae,Lactobacillales,Bacilli
Vibrio crassostreae,Vibrio crassostreae,246167,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Gyrodactylus hronosus,Gyrodactylus hronosus,147594,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus jiroveci,Gyrodactylus jiroveci,147595,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus papernai,Gyrodactylus papernai,431676,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus pseudonemacheili,Gyrodactylus pseudonemacheili,608039,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus sedelnikowi,Gyrodactylus sedelnikowi,608063,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Dactylogyrus chondrostomi,Dactylogyrus chondrostomi,231286,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus ergensi,Dactylogyrus ergensi,231315,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus vistulae,Dactylogyrus vistulae,231342,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Bothriocephalus acheilognathi,Schyzocotyle acheilognathi,135513,Schyzocotyle,Bothriocephalidae,Bothriocephalidea,Cestoda
Aeromonas eucrenophila,Aeromonas eucrenophila,649,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Aeromonas sobria,Aeromonas sobria,646,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Aspidogaster ijimai,Aspidogaster ijimai,367303,Aspidogaster,Aspidogastridae,NA,Trematoda
Atractolytocestus huronensis,Atractolytocestus huronensis,507542,Atractolytocestus,Lytocestidae,Caryophyllidea,Cestoda
Citrobacter freundii,Citrobacter freundii,546,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Cyprinid herpesvirus 3,Cyprinid herpesvirus 3,180230,Cyprinivirus,Alloherpesviridae,Herpesvirales,Herviviricetes
Dactylogyrus achmerowi,Dactylogyrus achmerowi,231279,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus anchoratus,Dactylogyrus anchoratus,198448,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus extensus,Dactylogyrus extensus,231316,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus vastator,Dactylogyrus vastator,231341,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Diplostomum mergi,Diplostomum mergi,183643,Diplostomum,Diplostomidae,Diplostomida,Trematoda
Diplozoon nipponicum,Eudiplozoon nipponicum,116851,Eudiplozoon,Diplozoidae,Mazocraeidea,Monogenea
Eudiplozoon nipponicum,Eudiplozoon nipponicum,116851,Eudiplozoon,Diplozoidae,Mazocraeidea,Monogenea
Flavobacterium columnare,Flavobacterium columnare,996,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
Flavobacterium psychrophilum,Flavobacterium psychrophilum,96345,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
Goussia carpelli,Goussia carpelli,947543,Goussia,Eimeriidae,Eucoccidiorida,Conoidasida
Khawia sinensis,Khawia sinensis,125900,Khawia,Lytocestidae,Caryophyllidea,Cestoda
Kurthia gibsonii,Kurthia gibsonii,33946,Kurthia,Planococcaceae,Bacillales,Bacilli
Lactococcus raffinolactis,Lactococcus raffinolactis,1366,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli
Listonella anguillarum,Vibrio anguillarum,55601,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Philometroides cyprini,Philometroides cyprini,332287,Philometroides,Philometridae,Rhabditida,Chromadorea
Vibrio cholerae,Vibrio cholerae,666,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Mycobacterium chelonae,Mycobacteroides chelonae,1774,Mycobacteroides,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Mycobacterium haemophilum,Mycobacterium haemophilum,29311,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Pseudoloma neurophilia,Pseudoloma neurophilia,146866,Pseudoloma,NA,NA,NA
Acinetobacter ursingii,Acinetobacter ursingii,108980,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Bacillus subtilis,Bacillus subtilis,1423,Bacillus,Bacillaceae,Bacillales,Bacilli
Haplorchis taichui,Haplorchis taichui,235153,Haplorchis,Heterophyidae,Opisthorchiida,Trematoda
Methylobacterium gregans,Methylobacterium gregans,374424,Methylobacterium,Methylobacteriaceae,Hyphomicrobiales,Alphaproteobacteria
Serratia marcescens,Serratia marcescens,615,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
Proteocephalus midoriensis,Proteocephalus midoriensis,100396,Proteocephalus,Proteocephalidae,Proteocephalidea,Cestoda
Camallanus cotti,Camallanus cotti,375143,Camallanus,Camallanidae,Rhabditida,Chromadorea
Ligula intestinalis,Ligula intestinalis,94845,Ligula,Diphyllobothriidae,Diphyllobothriidea,Cestoda
Dactylogyroides longicirrus,Dactylogyroides longicirrus,752549,Dactylogyroides,Dactylogyridae,Dactylogyridea,Monogenea
Aeromonas media,Aeromonas media,651,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Clinostomum complanatum,Clinostomum complanatum,235145,Clinostomum,Clinostomidae,Strigeidida,Trematoda
Dactylogyrus fallax,Dactylogyrus fallax,231318,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus folkmanovae,Dactylogyrus folkmanovae,231320,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus nanoides,Dactylogyrus nanoides,231329,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus prostae,Dactylogyrus prostae,231333,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Dactylogyrus vranoviensis,Dactylogyrus vranoviensis,231343,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea
Gyrodactylus lomi,Gyrodactylus lomi,147599,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus vimbi,Gyrodactylus vimbi,147609,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Pomphorhynchus laevis,Pomphorhynchus laevis,141832,Pomphorhynchus,Pomphorhynchidae,Echinorhynchida,Palaeacanthocephala
Proteocephalus torulosus,Proteocephalus torulosus,100429,Proteocephalus,Proteocephalidae,Proteocephalidea,Cestoda
Photobacterium kishitanii,Photobacterium kishitanii,318456,Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria
Aliivibrio fischeri,Aliivibrio fischeri,668,Aliivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Gnathostoma binucleatum,Gnathostoma binucleatum,61466,Gnathostoma,Gnathostomatidae,Rhabditida,Chromadorea
Braya yantschi,Braya yantschi,335524,Braya,Aporocotylidae,Strigeidida,Trematoda
Transversotrema gigantica,Transversotrema gigantica,910504,Transversotrema,Transversotrematidae,Azygiida,Trematoda
Phthinomita munozae,Phthinomita munozae,365445,Phthinomita,Aporocotylidae,Strigeidida,Trematoda
Postlepidapedon uberis,Postlepidapedon uberis,681703,Postlepidapedon,Lepocreadiidae,Plagiorchiida,Trematoda
Pseudotobothrium dipsacum,Pseudotobothrium dipsacum,116919,Pseudotobothrium,Otobothriidae,Trypanorhyncha,Cestoda
Pterobothrium lintoni,Pterobothrium lintoni,116939,Pterobothrium,Pterobothriidae,Trypanorhyncha,Cestoda
Transversotrema elegans,Transversotrema elegans,910501,Transversotrema,Transversotrematidae,Azygiida,Trematoda
Macvicaria alacris,Macvicaria alacris,92674,Macvicaria,Opecoelidae,Plagiorchiida,Trematoda
Dicrogaster contracta,Dicrogaster contracta,630355,Dicrogaster,Haploporidae,Plagiorchiida,Trematoda
Ligophorus vanbenedenii,Ligophorus vanbenedenii,341061,Ligophorus,Ancyrocephalidae,Dactylogyridea,Monogenea
Ragaia lizae,Ragaia lizae,630365,Ragaia,Haploporidae,Plagiorchiida,Trematoda
Robinia aurata,Robinia aurata,368077,Robinia,Hemiuridae,Azygiida,Trematoda
Saccocoelium obesum,Saccocoelium obesum,630369,Saccocoelium,Haploporidae,Plagiorchiida,Trematoda
Saccocoelium tensum,Saccocoelium tensum,630370,Saccocoelium,Haploporidae,Plagiorchiida,Trematoda
Schikhobalotrema sparisomae,Schikhobalotrema sparisomae,630372,Schikhobalotrema,Haplosplanchnidae,Plagiorchiida,Trematoda
Dicrogaster perpusilla,Dicrogaster perpusilla,630356,Dicrogaster,Haploporidae,Plagiorchiida,Trematoda
Haploporus benedeni,Haploporus benedeni,630391,Haploporus,Haploporidae,Plagiorchiida,Trematoda
Haplosplanchnus pachysomus,Haplosplanchnus pachysomus,630360,Haplosplanchnus,Haplosplanchnidae,Plagiorchiida,Trematoda
Lecithobotrys putrescens,Lecithobotrys putrescens,630363,Lecithobotrys,Haploporidae,Plagiorchiida,Trematoda
Saccocoelium brayi,Saccocoelium brayi,630367,Saccocoelium,Haploporidae,Plagiorchiida,Trematoda
Bacillus cereus,Bacillus cereus,1396,Bacillus,Bacillaceae,Bacillales,Bacilli
Bucephalus minimus,Bucephalus minimus,404250,Bucephalus,Bucephalidae,Strigeidida,Trematoda
Forticulcita gibsoni,Forticulcita gibsoni,630358,Forticulcita,Haploporidae,Plagiorchiida,Trematoda
Haplosplanchnus purii,Haplosplanchnus purii,630361,Haplosplanchnus,Haplosplanchnidae,Plagiorchiida,Trematoda
Infectious spleen and kidney necrosis virus,Infectious spleen and kidney necrosis virus,180170,Megalocytivirus,Iridoviridae,Pimascovirales,Megaviricetes
Ligophorus mugilinus,Ligophorus mugilinus,92200,Ligophorus,Ancyrocephalidae,Dactylogyridea,Monogenea
Metamicrocotyla cephalus,Metamicrocotyla cephalus,92242,Metamicrocotyla,Microcotylidae,Mazocraeidea,Monogenea
Microcotyle mugilis,Microcotyle mugilis,92222,Microcotyle,Microcotylidae,Mazocraeidea,Monogenea
Plethorchis acanthus,Plethorchis acanthus,232601,Plethorchis,Aporocotylidae,Strigeidida,Trematoda
Saccocoelium cephali,Saccocoelium cephali,630368,Saccocoelium,Haploporidae,Plagiorchiida,Trematoda
Phialemonium dimorphosporum,Phialemonium dimorphosporum,83823,Phialemonium,Cephalothecaceae,Sordariales,Sordariomycetes
Phagicola longa,Ascocotyle longa,1343080,Ascocotyle,Heterophyidae,Opisthorchiida,Trematoda
Clinostomum marginatum,Clinostomum marginatum,234884,Clinostomum,Clinostomidae,Strigeidida,Trematoda
Ichthyocotylurus pileatus,Ichthyocotylurus pileatus,145291,Ichthyocotylurus,Strigeidae,Diplostomida,Trematoda
Photobacterium phosphoreum,Photobacterium phosphoreum,659,Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria
Gyrodactylus coriicepsi,Gyrodactylus coriicepsi,592661,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Haliotrema platycephali,Haliotrema platycephali,341070,Haliotrema,Ancyrocephalidae,Dactylogyridea,Monogenea
Lamellodiscus japonicus,Lamellodiscus japonicus,428597,Lamellodiscus,Diplectanidae,Dactylogyridea,Monogenea
Interniloculus chilensis,Interniloculus chilensis,651792,Interniloculus,Capsalidae,Capsalidea,Monogenea
Hysterothylacium aduncum,Hysterothylacium aduncum,118886,Hysterothylacium,Raphidascarididae,Rhabditida,Chromadorea
Infectious pancreatic necrosis virus,Infectious pancreatic necrosis virus,11002,Aquabirnavirus,Birnaviridae,NA,NA
Lymphocystis disease virus 1,Lymphocystis disease virus 1,36363,Lymphocystivirus,Iridoviridae,Pimascovirales,Megaviricetes
Pseudocohnilembus longisetus,Pseudocohnilembus longisetus,700574,Pseudocohnilembus,Pseudocohnilembidae,Philasterida,Oligohymenophorea
Shewanella woodyi,Shewanella woodyi,60961,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria
Gyrodactylus corydori,Gyrodactylus corydori,910306,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus samirae,Gyrodactylus samirae,608057,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Gyrodactylus superbus,Gyrodactylus superbus,608084,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Mycobacterium gordonae,Mycobacterium gordonae,1778,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Mycobacterium szulgai,Mycobacterium szulgai,1787,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Geobacillus stearothermophilus,Geobacillus stearothermophilus,1422,Geobacillus,Bacillaceae,Bacillales,Bacilli
Haplorchis yokogawai,Haplorchis yokogawai,667377,Haplorchis,Heterophyidae,Opisthorchiida,Trematoda
Bifurcohaptor indicus,Bifurcohaptor indicus,752188,Bifurcohaptor,Ancylodiscoididae,Dactylogyridea,Monogenea
Cornudiscoides proximus,Cornudiscoides proximus,683836,Cornudiscoides,Ancylodiscoididae,Dactylogyridea,Monogenea
Phyllodistomum lacustri,Phyllodistomum lacustri,415299,Phyllodistomum,Gorgoderidae,Plagiorchiida,Trematoda
Wenyonia minuta,Wenyonia minuta,983319,Wenyonia,Caryophyllaeidae,Caryophyllidea,Cestoda
Wenyonia virilis,Wenyonia virilis,947536,Wenyonia,Caryophyllaeidae,Caryophyllidea,Cestoda
Wenyonia youdeoweii,Wenyonia youdeoweii,947537,Wenyonia,Caryophyllaeidae,Caryophyllidea,Cestoda
Pseudogilquinia pillersi,Pseudogilquinia pillersi,116836,Pseudogilquinia,Lacistorhynchidae,Trypanorhyncha,Cestoda
Transversotrema lacerta,Transversotrema lacerta,910505,Transversotrema,Transversotrematidae,Azygiida,Trematoda
Macvicaria macassarensis,Macvicaria macassarensis,116882,Macvicaria,Opecoelidae,Plagiorchiida,Trematoda
Callitetrarhynchus speciosus,Callitetrarhynchus speciosus,389879,Callitetrarhynchus,Lacistorhynchidae,Trypanorhyncha,Cestoda
Homalometron synagris,Homalometron synagris,116864,Homalometron,Apocreadiidae,Plagiorchiida,Trematoda
Neoapocreadium splendens,Neoapocreadium splendens,116897,Neoapocreadium,Apocreadiidae,Plagiorchiida,Trematoda
Anoplodiscus cirrusspiralis,Anoplodiscus cirrusspiralis,39275,Anoplodiscus,Anoplodiscidae,Gyrodactylidea,Monogenea
Bivagina pagrosomi,Bivagina pagrosomi,54586,Bivagina,Microcotylidae,Mazocraeidea,Monogenea
Cardicola aurata,Cardicola aurata,484898,Cardicola,Aporocotylidae,Strigeidida,Trematoda
Cryptosporidium molnari,Cryptosporidium molnari,871690,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
Enterovibrio nigricans,Enterovibrio nigricans,504469,Enterovibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Furnestinia echeneis,Furnestinia echeneis,92202,Furnestinia,Diplectanidae,Dactylogyridea,Monogenea
Gyrodactylus orecchiae,Gyrodactylus orecchiae,577613,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
Macvicaria maillardi,Macvicaria maillardi,120798,Macvicaria,Opecoelidae,Plagiorchiida,Trematoda
Photobacterium damselae,Photobacterium damselae,38293,Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria
Pycnadenoides senegalensis,Pycnadenoides senegalensis,92668,Pycnadenoides,Opecoelidae,Plagiorchiida,Trematoda
Sparicotyle chrysophryii,Sparicotyle chrysophryii,146926,Sparicotyle,Microcotylidae,Mazocraeidea,Monogenea
Bacillus aquimaris,Bacillus aquimaris,189382,Bacillus,Bacillaceae,Bacillales,Bacilli
Brachybacterium paraconglomeratum,Brachybacterium paraconglomeratum,173362,Brachybacterium,Dermabacteraceae,Micrococcales,Actinomycetia
Psychrobacter celer,Psychrobacter celer,306572,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Vibrio ichthyoenteri,Vibrio ichthyoenteri,142461,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Vibrio ponticus,Vibrio ponticus,265668,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Vibrio proteolyticus,Vibrio proteolyticus,671,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Vibrio rotiferianus,Vibrio rotiferianus,190895,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Acinetobacter johnsonii,Acinetobacter johnsonii,40214,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Acinetobacter lwoffii,Acinetobacter lwoffii,28090,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Exiguobacterium acetylicum,Exiguobacterium acetylicum,41170,Exiguobacterium,NA,Bacillales,Bacilli
Heterobothrium okamotoi,Heterobothrium okamotoi,263722,Heterobothrium,Diclidophoridae,Mazocraeidea,Monogenea
Kushneria marisflavi,Kushneria marisflavi,157779,Kushneria,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
Lysinibacillus fusiformis,Lysinibacillus fusiformis,28031,Lysinibacillus,Bacillaceae,Bacillales,Bacilli
Paradeontacylix sinensis,Paradeontacylix sinensis,462228,Paradeontacylix,Aporocotylidae,Strigeidida,Trematoda
Psychrobacter psychrophilus,Psychrobacter psychrophilus,248450,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Vibrio penaeicida,Vibrio penaeicida,104609,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
Stephanostomum minutum,Stephanostomum minutum,355621,Stephanostomum,Acanthocolpidae,Opisthorchiida,Trematoda
Nitzschia sturionis,Nitzschia sturionis,651813,Nitzschia,Capsalidae,Capsalidea,Monogenea
Marsipometra hastata,Marsipometra hastata,272815,Marsipometra,Triaenophoridae,Bothriocephalidea,Cestoda
Aeromonas schubertii,Aeromonas schubertii,652,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Blotched snakehead virus,Blotched snakehead virus,311176,Blosnavirus,Birnaviridae,NA,NA
Nocardia asteroides,Nocardia asteroides,1824,Nocardia,Nocardiaceae,Corynebacteriales,Actinomycetia
